name;pin;x;y;orientation;unit;type;ce;visibility;mode;width
~CE0_0;K4;-900;-200;R;1;I;1;;;
~CE0_1;H8;-900;-200;R;2;I;2;;;
~CE1_0;K5;-900;-300;R;1;I;4;;;
~CE1_1;H7;-900;-300;R;2;I;4;;;
~CE2_0;L4;-900;-400;R;1;I;8;;;
~CE2_1;G8;-900;-400;R;2;I;8;;;
~CE3_0;L5;-900;-500;R;1;I;8;;;
~CE3_1;G7;-900;-500;R;2;I;8;;;
~DQS_0;N7;-900;-700;R;1;B;1;;DDR,DDR2,DDR3;
~DQS_1;E5;-900;-700;R;2;B;1;;DDR,DDR2,DDR3;
~RE_0;M7;-900;700;R;1;I;1;;DDR2,DDR3;
~RE_1;F5;-900;700;R;2;I;1;;DDR2,DDR3;
~WE_0;M5;-900;500;R;1;I;1;;SDR;
~WE_1;F7;-900;500;R;2;I;1;;SDR;
~WP_0;K8;-900;400;R;1;I;1;;;
~WP_1;H4;-900;400;R;2;I;1;;;
ALE_0;L8;-900;200;R;1;I;1;;;
ALE_1;G4;-900;200;R;2;I;1;;;
CLE_0;L7;-900;100;R;1;I;1;;;
CLE_1;G5;-900;100;R;2;I;1;;;
DQS_0;M8;-900;-800;R;1;B;1;;DDR3;
DQS_1;F4;-900;-800;R;2;B;1;;DDR3;
IO0_0;M10;900;700;L;1;B;1;;;
IO0_1;F2;900;700;L;2;B;1;;;
IO1_0;M9;900;600;L;1;B;1;;;
IO1_1;F3;900;600;L;2;B;1;;;
IO2_0;N9;900;500;L;1;B;1;;;
IO2_1;E3;900;500;L;2;B;1;;;
IO3_0;P8;900;400;L;1;B;1;;;
IO3_1;D4;900;400;L;2;B;1;;;
IO4_0;P4;900;300;L;1;B;1;;;
IO4_1;D8;900;300;L;2;B;1;;;
IO5_0;N3;900;200;L;1;B;1;;;
IO5_1;E9;900;200;L;2;B;1;;;
IO6_0;M3;900;100;L;1;B;1;;;
IO6_1;F9;900;100;L;2;B;1;;;
IO7_0;M2;900;0;L;1;B;1;;;
IO7_1;F10;900;0;L;2;B;1;;;
R/~B0_0;J4;900;-200;L;1;O;1;;;
R/~B0_1;J8;900;-200;L;2;O;2;;;
R/~B1_0;J5;900;-300;L;1;O;4;;;
R/~B1_1;J7;900;-300;L;2;O;4;;;
RE_0;N5;-900;600;R;1;I;1;;SDR,DDR2,DDR3;
RE_1;E7;-900;600;R;2;I;1;;SDR,DDR2,DDR3;
VCC;D7;200;1200;D;0;W;1;;;
VCC;J3;300;1200;D;0;W;1;;;
VCC;J9;400;1200;D;0;W;1;;;
VCC;P5;500;1200;D;0;W;1;;;
VCCQ;D10;-200;1200;D;0;W;1;;;
VCCQ;D2;-500;1200;D;0;W;1;;;
VCCQ;D3;-400;1200;D;0;W;1;;;
VCCQ;D9;-300;1200;D;0;W;1;;;
VCCQ;G3;-200;1200;D;0;P;1;N;;
VCCQ;G9;-500;1200;D;0;P;1;N;;
VCCQ;L3;-400;1200;D;0;P;1;N;;
VCCQ;L9;-300;1200;D;0;P;1;N;;
VCCQ;P10;-200;1200;D;0;P;1;N;;
VCCQ;P2;-500;1200;D;0;P;1;N;;
VCCQ;P3;-400;1200;D;0;P;1;N;;
VCCQ;P9;-300;1200;D;0;P;1;N;;
VDDI;K10;-100;1000;D;0;N;1;N;;
VPP;K7;100;1000;D;0;N;1;N;;
VREFQ_0;M4;0;1200;D;1;W;1;;;
VREFQ_1;F8;0;1200;D;2;W;1;;;
VSS;D5;200;-1200;U;0;W;1;;;
VSS;J10;200;-1200;U;0;P;1;N;;
VSS;J2;200;-1200;U;0;P;1;N;;
VSS;P7;200;-1200;U;0;P;1;N;;
VSSQ;E10;-200;-1200;U;0;W;1;;;
VSSQ;E2;-200;-1200;U;0;P;1;N;;
VSSQ;E4;-200;-1200;U;0;P;1;N;;
VSSQ;E8;-200;-1200;U;0;P;1;N;;
VSSQ;G10;-200;-1200;U;0;P;1;N;;
VSSQ;G2;-200;-1200;U;0;P;1;N;;
VSSQ;L10;-200;-1200;U;0;P;1;N;;
VSSQ;L2;-200;-1200;U;0;P;1;N;;
VSSQ;N10;-200;-1200;U;0;P;1;N;;
VSSQ;N2;-200;-1200;U;0;P;1;N;;
VSSQ;N4;-200;-1200;U;0;P;1;N;;
VSSQ;N8;-200;-1200;U;0;P;1;N;;
W/~R0_1;N5;-900;700;R;1;I;1;;DDR;
W/~R1_1;E7;-900;700;R;2;I;1;;DDR;
VSP0;K2;100;1000;D;1;N;1;N;;
VSP1;H10;100;1000;D;1;N;1;N;;
VSP2;K9;100;1000;D;1;N;1;N;;
